scene_id,scene_title,character_id,display_name,state,recommended_asset,camera
ch2-s05,SCENE 5. 해안 집결지 - 이름이 숫자가 되다,trader,상인,neutral,ch2_trader_neutral.webp,slow-in
ch2-s06,SCENE 6. 배에 사람을 채우다,jack_africa,아프리카의 잭,weakened,africa_jack_weakened.webp,slow-in
ch2-s06,SCENE 6. 배에 사람을 채우다,stranger,낯선 사람,weakened,ch2_stranger_weakened.webp,slow-in
ch2-s07,SCENE 7. 대서양 - 몸이 변해 가다,jack_africa,아프리카의 잭,gaunt,africa_jack_gaunt.webp,slow-out
ch2-s07,SCENE 7. 대서양 - 몸이 변해 가다,amada,아마다,gaunt,ch2_amada_gaunt.webp,slow-out
ch2-s07,SCENE 7. 대서양 - 몸이 변해 가다,stranger,낯선 사람,gaunt,ch2_stranger_gaunt.webp,slow-out
ch2-s08,SCENE 8. 어느 밤 - 종(Zong)호,jack_africa,아프리카의 잭,gaunt,africa_jack_gaunt.webp,shake-soft
ch2-s08,SCENE 8. 어느 밤 - 종(Zong)호,captain,선장,cold,ch2_captain_cold.webp,shake-soft
ch2-s08,SCENE 8. 어느 밤 - 종(Zong)호,stranger,낯선 사람,terrified,ch2_stranger_terrified.webp,shake-soft
ch2-s09,SCENE 9. 살아서 도착했다,jack_africa,아프리카의 잭,gaunt_arrival,africa_jack_gaunt_arrival.webp,slow-in
ch2-s09,SCENE 9. 살아서 도착했다,supervisor_ch2,감독,cold,ch2_supervisor_cold.webp,slow-in
ch3-s01,SCENE 1. 빵과 약,jack_europe,유럽의 잭,child,europe_jack_child.webp,slow-in
ch3-s01,SCENE 1. 빵과 약,mother_ch3,어머니,sick,ch3_mother_sick.webp,slow-in
ch3-s01,SCENE 1. 빵과 약,market_merchant,시장 상인,cold,ch3_market_merchant_cold.webp,slow-in
ch3-s01,SCENE 1. 빵과 약,pharmacist,약사,neutral,ch3_pharmacist_neutral.webp,slow-in
ch3-s02,SCENE 2. 바다 위의 황금,jack_europe,유럽의 잭,young_hopeful,europe_jack_young_hopeful.webp,pan-right
ch3-s02,SCENE 2. 바다 위의 황금,recruiter,투자 모집인,smiling,ch3_recruiter_smiling.webp,pan-right
ch3-s02,SCENE 2. 바다 위의 황금,tom,톰,young,ch3_tom_young.webp,pan-right
ch3-s03,SCENE 3. 빈 사무실,jack_europe,유럽의 잭,shocked,europe_jack_shocked.webp,slow-out
ch3-s03,SCENE 3. 빈 사무실,landlord,건물 주인,neutral,ch3_landlord_neutral.webp,slow-out
ch3-s04,SCENE 4. 돈이 없다는 이유,jack_europe,유럽의 잭,grieving,europe_jack_grieving.webp,slow-in
ch3-s04,SCENE 4. 돈이 없다는 이유,mother_ch3,어머니,critical,ch3_mother_critical.webp,slow-in
ch3-s04,SCENE 4. 돈이 없다는 이유,pharmacist,약사,neutral,ch3_pharmacist_neutral.webp,slow-in
ch3-s05,SCENE 5. 흑화 - 다시는 빼앗기지 않겠다,jack_europe,유럽의 잭,hardened,europe_jack_hardened.webp,slow-in
ch3-s05,SCENE 5. 흑화 - 다시는 빼앗기지 않겠다,tom,톰,concerned,ch3_tom_concerned.webp,slow-in
ch3-s06,SCENE 6. 돈의 문법을 배우다,jack_europe,유럽의 잭,merchant,europe_jack_merchant.webp,pan-left
ch3-s06,SCENE 6. 돈의 문법을 배우다,mentor,스승 상인,cold,ch3_mentor_cold.webp,pan-left
ch3-s06,SCENE 6. 돈의 문법을 배우다,small_merchant,작은 상인,worried,ch3_small_merchant_worried.webp,pan-left
ch3-s07,SCENE 7. 친구에게도 같은 짓을 하다,jack_europe,유럽의 잭,merchant_cold,europe_jack_merchant_cold.webp,slow-in
ch3-s07,SCENE 7. 친구에게도 같은 짓을 하다,tom,톰,worried,ch3_tom_worried.webp,slow-in
ch3-s08,SCENE 8. 금빛 장부,jack_europe,유럽의 잭,rich,europe_jack_rich.webp,slow-in
ch3-s08,SCENE 8. 금빛 장부,accountant,회계사,neutral,ch3_accountant_neutral.webp,slow-in
ch3-s09,SCENE 9. 모두가 떠나는 날,jack_europe,유럽의 잭,ruined,europe_jack_ruined.webp,shake-soft
ch3-s09,SCENE 9. 모두가 떠나는 날,accountant,회계사,tense,ch3_accountant_tense.webp,shake-soft
ch3-s09,SCENE 9. 모두가 떠나는 날,small_merchant,작은 상인,cold,ch3_small_merchant_cold.webp,shake-soft
ch3-s09,SCENE 9. 모두가 떠나는 날,old_partner,옛 동업자,cold,ch3_old_partner_cold.webp,shake-soft
ch3-s09,SCENE 9. 모두가 떠나는 날,tom,톰,cold,ch3_tom_cold.webp,shake-soft
ch3-s10,SCENE 10. 빈방,jack_europe,유럽의 잭,ruined_sick,europe_jack_ruined_sick.webp,slow-out
